id,title,children,pet
1,사려니숲길,1,0
2,우도(해양도립공원),1,1
3,성산일출봉(UNESCO 세계자연유산),0,0
4,비자림,1,0
5,천지연폭포,1,0
6,만장굴,1,0
7,새별오름,0,0
8,협재해수욕장,1,1
9,섭지코지,1,1
10,카멜리아힐,1,1
11,거문오름(UNESCO 세계자연유산),0,0
12,함덕해수욕장,1,1
13,월정리해변,9,1
14,한라산국립공원,0,0
15,쇠소깍,1,0
16,주상절리대(중문대포해안),1,1
17,정방폭포,1,0
18,에코랜드 테마파크,1,0
19,애월한담해안산책로,1,1
20,천제연폭포,1,0
21,산굼부리,0,1
22,오설록티뮤지엄,1,1
23,황우지해안,1,1
24,용머리해안,1,1
25,김녕해수욕장,1,1
26,용눈이오름,0,1
27,한라산영실코스,1,0
28,한림공원,1,1
29,아쿠아플라넷 제주,1,0
30,메이즈랜드,1,0
31,곽지해수욕장,1,1
32,제주절물자연휴양림,1,0
33,제주실탄사격장,0,0
34,금능해수욕장,1,1
35,산방굴사,0,0
36,아라고나이트 온천(디아넥스호텔),1,0
37,용두암,1,1
38,산방산탄산온천,1,1
39,이호테우말등대,1,1
40,보롬왓,1,1
41,휴애리 자연생활공원,1,1
42,제주김녕미로공원,1,0
43,아침미소목장,1,1
44,백록담,0,0
45,세화해변,1,1
46,김경숙해바라기농장,1,1
47,제주조천스위스마을,1,1
48,백약이오름,0,0
49,외돌개,1,1
50,제주레일바이크,1,1
51,서귀포치유의숲,1,0
52,광치기해변,1,1
53,마라도(마라해양도립공원),1,1
54,렛츠런파크,1,0
55,중문관광단지,1,0
56,중문색달해수욕장,1,1
57,제주4.3평화공원,1,1
58,성읍민속마을,1,1
59,애월해안도로,1,1
60,산방산,0,0
61,이중섭거리,0,1
62,박물관은 살아있다,2,0
63,제주레포츠랜드,1,0
64,1100고지습지,0,0
65,송악산,0,0
66,소인국테마파크,1,0
67,환상숲 곶자왈공원,1,0
68,수월봉 지질트레일,0,1
69,제주하늘을날다(패러글라이딩),0,0
70,제주동백수목원,1,0
71,생각하는정원,1,0
72,다랑쉬오름(월랑봉),0,1
73,동백동산,1,1
74,제주민속촌,1,0
75,방주교회,1,0
76,새연교,1,1
77,아부오름,1,1
78,제주유리의성,2,0
79,안덕계곡,1,1
80,제주러브랜드[휴업중],0,0
81,붉은오름 자연휴양림,1,1
82,제주돌문화공원,1,0
83,선녀와나무꾼,2,0
84,제주허브동산,1,1
85,오라동 청보리-메밀꽃밭,0,0
86,한라수목원,1,1
87,감귤박물관,2,1
88,서귀포잠수함(대국해저관광),2,0
89,가파도,1,1
90,수월봉,1,1
91,아날로그감귤밭,2,0
92,위미리 동백나무군락,1,0
93,마방목지,1,1
94,비양도,1,1
95,신비의도로카트체험장,2,0
96,"더럭초등학교(구, 더럭분교)",1,0
97,녹산로유채꽃길,1,1
98,월령선인장군락지,1,1
99,제주빅볼랜드,2,0
100,월정리 카약체험장,1,0
101,제주항공우주박물관,1,0
102,관덕정,1,0
103,용연,1,1
104,신화테마파크,2,0
105,1100고지(휴게소),1,0
106,일출랜드,1,1
107,원앙폭포,1,1
108,본태박물관,1,0
109,렛츠런팜제주,1,1
110,헬로키티아일랜드,2,0
111,해녀박물관,1,0
112,여미지식물원,1,1
113,브릭캠퍼스,2,0
114,제주베니스랜드,1,0
115,너븐숭이 4.3기념관,1,0
116,동굴의 다원 다희연,1,0
117,약천사,1,1
118,우도잠수함(제주씨월드),2,0
119,노리매공원,1,1
120,제주특별자치도 도립미술관,1,0
121,곶자왈,1,1
122,차귀도,1,1
123,항파두리항몽유적지,1,0
124,우도산호해변 홍조단괴 서빈백사,1,1
125,어승생,0,0
126,제주별빛누리공원[제한적운영중],1,0
127,제주목관아,1,0
128,도두봉,1,0
129,가뫼물,2,0
130,제주올레 7코스,1,1
131,도순다원,1,0
132,귤밭76번지,2,0
133,제주라프 짚라인,1,0
134,검멀레해변,1,1
135,케이제주씨워킹,1,0
136,제주바다체험장,2,0
137,금악오름(왕매),1,1
138,신창~차귀해안도로,0,1
139,물영아리오름,0,1
140,신비의도로,0,0
141,"군산(군산오름,코메오름)",1,1
142,넥슨컴퓨터박물관,1,0
143,북촌돌하르방미술관,1,0
144,제주공룡랜드[휴장중],2,0
145,김영갑갤러리 두모악,1,0
146,초콜릿박물관,2,0
147,한담해변,1,1
148,제주불빛정원 테마파크,1,1
149,퍼시픽 리솜 요트투어 샹그릴라,1,0
150,그리스신화박물관 / 트릭아이미술관,2,0
151,김녕사굴,1,0
152,제주현대미술관,1,0
153,테디베어뮤지엄제주,2,0
154,세계자동차 & 피아노박물관,1,0
155,더마파크,2,0
156,제주다원 녹차미로공원,1,1
157,따라비오름,1,1
158,도두동 무지개 해안도로,1,1
159,산방산 용머리해안 지질트레일,1,0
160,관음사,1,1
161,한라산어리목코스,0,0
162,세리월드 테마파크,2,0
163,시크릿가든촬영지,1,1
164,제주센트럴파크,1,0
165,신창풍차해안도로,1,1
166,제주커피박물관 바움 Baum,1,0
167,서귀포칠십리시공원,1,1
168,9.81 파크,2,0
169,협재굴(한림공원),1,1
170,돈내코,1,1
171,사라오름,0,1
172,국립제주박물관,1,0
173,제주해양동물박물관,1,0
174,성이시돌목장,1,1
175,윗세오름(웃세오름),0,1
176,제주유리박물관,1,0
177,테디베어사파리 테지움,2,0
178,비체올린,1,1
179,이니스프리제주하우스,1,0
180,플레이네이쳐,1,1
181,누웨마루거리(구 바오젠),1,1
182,박수기정,1,1
183,알뜨르비행장,1,1
184,엉또폭포,1,1
185,상효원,1,0
186,김녕요트투어,1,0
187,모슬포항,1,1
188,노루생태관찰원,1,0
189,머체왓숲길,1,1
190,아이스뮤지엄,1,0
191,표선해수욕장,1,1
192,서우봉,1,1
193,제주아트서커스,1,0
194,이상한 나라의 앨리스,2,0
195,제주올레 8코스,1,1
196,서귀포자연휴양림,1,0
197,건강과성박물관,0,0
198,김녕 지질트레일,1,1
199,코코몽 에코파크,2,0
200,선운정사,1,1
201,조랑말체험공원,2,1
202,제주승마공원,2,0
203,혼인지,1,1
204,추자도,1,1
205,사계해변,1,1
206,민속자연사박물관,1,0
207,삼양해수욕장,1,1
208,신흥2리 동백마을,1,1
209,탑동,1,1
210,닭머르해안길,1,1
211,김녕금속공예벽화마을,1,1
212,조은승마장,2,0
213,한라생태숲,1,0
214,이중섭미술관,1,0
215,성읍랜드,2,0
216,초콜릿랜드,2,0
217,삼성혈,1,0
218,제주올레 1코스,1,1
219,지미봉,0,1
220,소천지,0,1
221,서귀포예술의전당,1,0
222,구엄리돌염전,1,1
223,이호테우해수욕장,1,1
224,사라봉,1,1
225,범섬,1,1
226,익스트림제주 카약올레,1,0
227,바이나흐튼 크리스마스 박물관,1,0
228,연화못,1,1
229,종달리수국길,1,1
230,제주올레 6코스,1,1
231,제주곶자왈도립공원,1,0
232,두맹이골목,1,1
233,점보빌리지,2,0
234,전농로 서사라문화거리,1,1
235,쉬리의언덕,1,1
236,저지 예술인 마을,1,0
237,미천굴,1,0
238,서귀포천문과학문화관,1,0
239,아프리카박물관,1,0
240,피규어뮤지엄 제주,1,0
241,신양섭지해수욕장,1,1
242,제주올레 17코스,1,1
243,교래자연휴양림,1,0
244,용담/용두암 해안도로,1,1
245,엉덩물계곡,1,1
246,삼다수숲길 지질트레일,1,1
247,제주올레 10코스,1,1
248,청수곶자왈,1,0
249,우도 비양도,1,1
250,아이리스촬영지(하얀등대),1,1
251,성산항,1,1
252,천아숲길 천아계곡,1,0
253,유민미술관,1,0
254,알작지해변,1,1
255,제주올레 18코스,1,1
256,빌레못동굴,1,0
257,제주세계자연유산센터,1,0
258,천왕사,1,0
259,대장금촬영지(제주민속촌),1,1
260,송당승마장,1,0
261,약천사 템플스테이,1,1
262,아끈다랑쉬,0,1
263,성읍녹차마을,1,1
264,제주올레 15-A코스,1,1
265,제주문예회관,1,0
266,휴림,1,0
267,쇠소깍해변,1,1
268,걸매생태공원,1,1
269,토이파크,2,0
270,남원큰엉해변,1,1
271,샤이니숲길,1,0
272,플레이박스VR,2,0
273,제주도립김창열미술관,1,0
274,금능석물원,1,1
275,제주추사관,1,0
276,보물섬하이킹,1,0
277,그린크루즈(산방산유람선),1,1
278,제주국제컨벤션센터 icc,1,0
279,"저지오름(닥몰오름,새오름)",1,1
280,화순금모래해수욕장,1,1
281,새섬,1,1
282,싱계물 공원,1,1
283,제주카트클럽,2,0
284,방림원,1,1
285,별내린전망대,1,1
286,하멜상선전시관,1,0
287,5.16도로숲터널,1,1
288,쌍용굴(한림공원),1,1
289,용담레포츠공원,1,0
290,제주 패러글라이딩 스쿨,0,0
291,하도해변,1,1
292,김만덕객주,0,0
293,마라도성당,1,1
294,쇠소깍제트,1,0
295,낙천리아홉굿의자마을,1,1
296,송악산 진지동굴,1,0
297,제주국제공항,1,0
298,정물오름,1,1
299,지포뮤지엄,1,0
300,화순곶자왈생태탐방숲길,1,1
301,영주산,0,0
302,해품은체험농장,2,0
303,중문미로파크,1,0
304,한라산소주공장,0,0
305,제주올레 1-1코스,1,1
306,더마카트,2,0
307,토끼섬,1,1
308,산지등대,1,1
309,자구리공원,1,1
310,하고수동해변,1,1
311,소정방폭포,1,1
312,판포포구,1,1
313,하늘여행 행글라이더체험장,0,0
314,논짓물,1,1
315,세계술박물관,0,0
316,산지천,1,1
317,종달리해안도로,1,1
318,제주힐링명상센터,1,0
319,다이나믹메이즈,2,0
320,표선세화해안도로,1,1
321,제주평화박물관(전쟁평화박물관)[휴관중],1,0
322,디스커버제주,1,0
323,돈내코유원지,1,0
324,조천함덕해안도로,1,1
325,섯알오름,1,1
326,하모씨워킹,0,0
327,사려니오름,1,1
328,제주올레 5코스,1,1
329,흑돼지거리,1,0
330,서복전시관,1,0
331,이랜드뮤지엄,1,0
332,영실기암,0,0
333,문섬(서귀포해양도립공원),1,0
334,장생의 숲길,1,0
335,낙타트래킹,2,0
336,우도등대,1,0
337,황금굴(한림공원),1,1
338,서귀포항,1,1
339,조안베어뮤지엄,2,0
340,제주난타,1,0
341,애월 한담 카약,1,0
342,함덕카페거리,1,0
343,큰노꼬메오름,0,1
344,세계조가비박물관,1,0
345,산방산 랜드,1,0
346,성산 유채꽃재배단지,1,1
347,그랑블루 요트투어,1,0
348,성널오름 (성판악),0,1
349,물찻오름,0,1
350,제주카약,1,0
351,어리목계곡,1,0
352,용두암해안도로카페거리,1,1
353,사라봉공원,1,1
354,평대리해변,1,1
355,제주돌마을공원,1,0
356,형제섬,1,0
357,단산(바굼지오름),0,1
358,이중섭거주지,1,1
359,1112도로,1,1
360,숫모르편백나무숲길,1,0
361,별방진,1,0
362,덕천리 팔자 좋아 길,1,1
363,섶섬(서귀포해양도립공원),1,1
364,해거름전망대,1,0
365,캐릭파크,2,0
366,제주올레 19코스,1,1
367,고근산(고공산),0,0
368,황우지해안 열두굴,1,1
369,"당산봉(당오름,차귀오름)",0,1
370,서프라이즈테마파크,1,1
371,제주올레 14코스,1,1
372,추사적거지,1,0
373,서건도,1,1
374,제주 카카오캠핑,1,0
375,한국야구명예전당(야구박물관),1,0
376,제주에코승마장(구.제주승마장),2,0
377,탑동해변공연장,1,0
378,장전리 벚꽃축제길,1,1
379,법환포구,1,1
380,제주올레 16코스,1,1
381,서귀포 다이브센터,0,0
382,타보카 월정리투명카약,1,0
383,제주 삼양동 유적,1,0
384,동백포레스트,1,1
385,납읍난대림 금산공원,1,1
386,꽃썸,1,1
387,대평포구,1,1
388,최영장군사당,1,0
389,붉은오름(표선면),0,1
390,베릿네오름,0,1
391,(주)제주해양레저 투명카약,1,0
392,까망고띠,1,0
393,산천단,0,0
394,해맞이해안로,1,1
395,제주올레 20코스,1,1
396,안돌오름,0,1
397,섬속의섬우도렌트,1,0
398,송당본향당,0,1
399,서귀포시립기당미술관,1,0
400,한림항,1,1
401,김만덕기념관,1,0
402,탐나라공화국(제주남이섬),1,1
403,허브동산 미디어 파사드 (media facade),1,1
404,강정천유원지,1,1
405,포레스트 사파리,2,0
406,스누피가든,1,0
407,스쿠버스쿨,1,0
408,카카오본사(구 스페이스닷원),1,0
409,귀빈사,0,0
410,용연카누클럽,1,0
411,별도봉,0,0
412,순례자의교회,0,0
413,화순금모래해수욕장담수수영장,1,0
414,오조포구,0,1
415,제주올레 4코스,1,0
416,종달리전망대,0,0
417,제지기오름,0,0
418,산양곶자왈,1,0
419,사계해안도로,0,0
420,석부작박물관,0,0
421,마원,0,0
422,엉알해안산책로,1,0
423,고살리숲길,0,0
424,보통청춘기록실 청춘사진관,0,1
425,제주다이브 체험다이빙,0,0
426,아르떼뮤지엄,1,0
427,한림바다체험마을,2,0
428,민오름(오라동),0,0
429,오현단,0,1
430,신화워터파크,2,0
431,제주올레 14-1코스,1,0
432,제주제트,1,0
433,대정해변(하모해변),1,0
434,연북정,0,0
435,간세공방,1,0
436,SM 디지털아트 뮤지엄,1,0
437,검멀레동굴,0,0
438,제주올레 21코스,1,0
439,김녕해수욕장야영장,1,0
440,우도스쿠터여행,0,0
441,제주올레 2코스,1,0
442,올레여행자센터,0,0
443,제주 더팔팔농장,1,0
444,제주대학교 가는길,1,1
445,형제해안도로,0,1
446,아라리오뮤지엄탑동시네마,1,0
447,서귀포 궁도장(천지정),0,0
448,제주국제평화센터,0,0
449,큰사슴이오름,0,0
450,제주항일기념관,0,0
451,대정향교,0,0
452,차귀도요트,1,0
453,성읍목장,1,0
454,제라진 제주오프로드 사파리,1,1
455,레이저서바이벌M,1,0
456,제주성지,0,0
457,갓전시관[임시휴관중],0,0
458,서귀다원,0,0
459,사계 용머리해안 (해산물),0,0
460,벨리타,1,0
461,성산포항,0,1
462,효명사,0,0
463,알프스승마장포니,1,0
464,파파빌레,1,1
465,프랑스샤르망,0,0
466,왈종미술관,0,0
467,월대천,1,1
468,무릉곶자왈,0,0
469,제주올레 3코스,1,0
470,송악카트체험장,2,0
471,아라리오뮤지엄동문모텔1,0,0
472,노을승마장,1,0
473,제주올레 12코스,1,0
474,해피맘하우스,1,0
475,걸매예술마을,1,0
476,서귀포층패류화석산지,0,0
477,라온승마클럽,1,0
478,제주해양레저,1,0
479,제주교육박물관,0,0
480,엉알해안,0,0
481,제주향교,0,0
482,생이기정,1,0
483,쇠와꽃 승마장,1,0
484,제주플래티늄카라반,1,0
485,화조원,1,0
486,"마라도등대[내부공사중, 관람불가]",0,0
487,구좌 하도어촌계,1,0
488,위미항,0,1
489,원당봉,0,0
490,신천리 벽화마을,1,1
491,종달리해변,1,1
492,제주올레 9코스,1,0
493,제주 이호털보 배낚시,1,0
494,도두항,0,1
495,돔베낭길,1,0
496,들렁모루 산책길,1,0
497,비자림농원,1,0
498,고흐의 정원,1,0
499,예래생태체험관,1,0
500,"물메(물미, 수산봉)",0,0
501,삼매봉,0,0
502,막숙,1,0
503,제주올레 7-1코스,1,0
504,관음사 템플스테이,1,0
505,절부암,0,0
506,동산농원 딸기체험장,1,0
507,화순리 유채꽃길,1,0
508,돔베낭골,0,0
509,중문카라반,1,0
510,제주참숯가마찜질방,1,0
511,가마오름 진지동굴,0,0
512,대유ATV수렵사격랜드,1,0
513,모진이몽돌해변,1,0
514,소암현중화기념관,0,0
515,곽지해수욕장야영장,1,0
516,문도지오름 (문돗지),0,1
517,제주올레 10-1코스,1,0
518,윈드1947 카트 테마파크,2,1
519,렛츠런팜 양귀비꽃,1,0
520,그랑블루호(선상낚시),1,0
521,비블리아성서식물원,1,0
522,액티브파크,2,0
523,하멜기념비,0,0
524,제주워터월드,1,0
525,우도올레보트,1,0
526,제주스쿠터여행,0,0
527,귤빛캠핑장,1,0
528,함덕백사장 & 서우봉,1,0
529,추사 유배길 - 3코스 사색의 길,0,0
530,게우지코지,1,0
531,가마오름,0,0
532,조천만세동산,0,0
533,진아영 할머니 집터,0,0
534,세화해안도로,0,1
535,문서프,0,1
536,갤러리2 중선농원,0,0
537,한림해안도로,0,1
538,서귀포해안,1,0
539,청초밭영농조합법인,0,0
540,아홉굿마을 낙천리 농어촌체험마을,1,0
541,대한민국최남단기념비/ 마라도 기념비,0,0
542,눈물의십자가,0,0
543,함덕야영장,1,0
544,두산봉(말미오름),0,0
545,톨칸이,1,0
546,제주기독교순례길,0,0
547,강정어촌계,1,0
548,오름터 민속마을,1,0
549,왕이메오름,0,0
550,제주롯데스카이힐컨트리클럽,0,1
551,설쿰바당,1,0
552,무수천,1,0
553,높은오름,0,0
554,김녕해안도로,0,1
555,월평포구,1,1
556,제주쥬티클럽,0,0
557,발자국화석공원,1,0
558,캔디원,2,0
